,ORO_storage_af,ORO_outflow_cfs
10/1/90,1162392,20
10/2/90,1161234,2553
10/3/90,1159428,2615
10/4/90,1161017,1405
10/5/90,1160296,2325
10/6/90,1158419,2460
10/7/90,1159428,2680
10/8/90,1161885,540
10/9/90,1159500,2150
10/10/90,1162608,1910
10/11/90,1163187,1990
10/12/90,1165287,1948
10/13/90,1169277,1010
10/14/90,1171384,260
10/15/90,1171966,640
10/16/90,1172986,953
10/17/90,1173930,1019
10/18/90,1174222,1038
10/19/90,1172766,1399
10/20/90,1177868,1340
10/21/90,1181596,690
10/22/90,1182913,16
10/23/90,1182694,1430
10/24/90,1182548,1915
10/25/90,1181742,1894
10/26/90,1181523,1850
10/27/90,1177430,2070
10/28/90,1173494,2320
10/29/90,1173276,1785
10/30/90,1172620,1736
10/31/90,1173203,1989
11/1/90,1169640,2207
11/2/90,1167317,1980
11/3/90,1164418,1700
11/4/90,1161740,1550
11/5/90,1161089,1320
11/6/90,1161018,1542
11/7/90,1157264,3268
11/8/90,1157553,1819
11/9/90,1153951,2800
11/10/90,1150788,2440
11/11/90,1153161,10
11/12/90,1151651,1590
11/13/90,1151148,1249
11/14/90,1151004,1298
11/15/90,1151004,680
11/16/90,1155751,670
11/17/90,1158346,520
11/18/90,1160512,0
11/19/90,1158851,1225
11/20/90,1161162,1223
11/21/90,1159790,2250
11/22/90,1162608,0
11/23/90,1161740,1100
11/24/90,1163838,1050
11/25/90,1167026,0
11/26/90,1161957,4064
11/27/90,1158564,3552
11/28/90,1156183,2867
11/29/90,1155500,2043
11/30/90,1155500,1720
12/1/90,1156400,550
12/2/90,1157048,610
12/3/90,1154671,2440
12/4/90,1152946,2440
12/5/90,1149568,2580
12/6/90,1148062,2990
12/7/90,1145842,3280
12/8/90,1136703,5280
12/9/90,1125707,6140
12/10/90,1116472,6190
12/11/90,1108759,6050
12/12/90,1100595,6060
12/13/90,1091091,6420
12/14/90,1083227,6260
12/15/90,1076018,5190
12/16/90,1067343,5290
12/17/90,1058649,6230
12/18/90,1056822,2726
12/19/90,1052297,4015
12/20/90,1049332,3672
12/21/90,1043958,4400
12/22/90,1039805,3490
12/23/90,1032991,5000
12/24/90,1027674,4160
12/25/90,1023567,4150
12/26/90,1018349,4229
12/27/90,1012229,4150
12/28/90,1007769,3430
12/29/90,1001042,3750
12/30/90,993239,4460
12/31/90,987100,3340
1/1/91,983676,2050
1/2/91,976929,3780
1/3/91,970341,3747
1/4/91,967407,2500
1/5/91,969256,3
1/6/91,970469,190
1/7/91,964672,3862
1/8/91,952079,3910
1/9/91,954287,2790
1/10/91,950568,2330
1/11/91,945731,2890
1/12/91,941411,3
1/13/91,949374,3
1/14/91,947175,2202
1/15/91,944791,2997
1/16/91,939662,2428
1/17/91,933557,3595
1/18/91,928593,3174
1/19/91,930452,3
1/20/91,932314,3
1/21/91,927355,3130
1/22/91,924759,1932
1/23/91,924635,705
1/24/91,923647,1017
1/25/91,923709,505
1/26/91,924820,227
1/27/91,926736,8
1/28/91,924882,1995
1/29/91,922599,1718
1/30/91,921058,1830
1/31/91,921058,2550
2/1/91,920900,560
2/2/91,921700,3
2/3/91,925500,3
2/4/91,929956,1380
2/5/91,932376,1534
2/6/91,932687,1924
2/7/91,934304,514
2/8/91,935548,3
2/9/91,937292,304
